,number,type,bbox_x,lines,width,height,ext,colorspace,xres,yres,bpc,transform,size_x,image,__x,line_no,idx,idx_val,size_y,flags,font,color,ascender,descender,text,origin,bbox_y,__y,span_no,x0,y0,x1,y1
10,7,0,"(42.2400016784668, 172.90438842773438, 151.875244140625, 183.664794921875)","{'spans': [{'size': 8.399999618530273, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': 'kurdicum Boiss. et', 'origin': (42.2400016784668, 180.95999145507812), 'bbox': (42.2400016784668, 172.90438842773438, 113.44059753417969, 183.664794921875)}, {'size': 8.481629371643066, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' Hausskn.', 'origin': (113.44059753417969, 180.95999145507812), 'bbox': (113.44059753417969, 172.90438842773438, 151.875244140625, 183.664794921875)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (42.2400016784668, 172.90438842773438, 151.875244140625, 183.664794921875)}",,,,,,,,,,,number,0,4,4,8.399999618530273,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,et,"(42.2400016784668, 180.95999145507812)","(42.2400016784668, 172.90438842773438, 113.44059753417969, 183.664794921875)",idx,0,42.2400016784668,172.90438842773438,113.44059753417969,183.664794921875
11,7,0,"(42.2400016784668, 172.90438842773438, 151.875244140625, 183.664794921875)","{'spans': [{'size': 8.399999618530273, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': 'kurdicum Boiss. et', 'origin': (42.2400016784668, 180.95999145507812), 'bbox': (42.2400016784668, 172.90438842773438, 113.44059753417969, 183.664794921875)}, {'size': 8.481629371643066, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' Hausskn.', 'origin': (113.44059753417969, 180.95999145507812), 'bbox': (113.44059753417969, 172.90438842773438, 151.875244140625, 183.664794921875)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (42.2400016784668, 172.90438842773438, 151.875244140625, 183.664794921875)}",,,,,,,,,,,number,0,4,4,8.481629371643066,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,Hausskn.,"(113.44059753417969, 180.95999145507812)","(113.44059753417969, 172.90438842773438, 151.875244140625, 183.664794921875)",idx,1,113.44059753417969,172.90438842773438,151.875244140625,183.664794921875
12,8,0,"(28.799999237060547, 182.2392120361328, 53.56838607788086, 192.69720458984375)","{'spans': [{'size': 8.809272766113281, 'flags': 6, 'font': 'Times-Italic', 'color': 0, 'ascender': 0.9620000123977661, 'descender': -0.28299999237060547, 'text': 'Aceras', 'origin': (28.799999237060547, 190.32000732421875), 'bbox': (28.799999237060547, 182.2392120361328, 53.56838607788086, 192.69720458984375)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (28.799999237060547, 182.2392120361328, 53.56838607788086, 192.69720458984375)}",,,,,,,,,,,number,0,5,5,8.809272766113281,6,Times-Italic,0,0.9620000123977661,-0.28299999237060547,Aceras,"(28.799999237060547, 190.32000732421875)","(28.799999237060547, 182.2392120361328, 53.56838607788086, 192.69720458984375)",idx,0,28.799999237060547,182.2392120361328,53.56838607788086,192.69720458984375
13,10,0,"(42.2400016784668, 191.83921813964844, 87.3943862915039, 202.62481689453125)","{'spans': [{'size': 8.702376365661621, 'flags': 6, 'font': 'Times-Italic', 'color': 0, 'ascender': 0.9620000123977661, 'descender': -0.28299999237060547, 'text': 'qffinis', 'origin': (42.2400016784668, 199.92001342773438), 'bbox': (42.2400016784668, 191.83921813964844, 64.2381591796875, 202.29721069335938)}, {'size': 8.702376365661621, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' Boiss.', 'origin': (64.23815155029297, 199.92001342773438), 'bbox': (64.23815155029297, 191.86441040039062, 87.3943862915039, 202.62481689453125)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (42.2400016784668, 191.83921813964844, 87.3943862915039, 202.62481689453125)}",,,,,,,,,,,number,0,6,6,8.702376365661621,6,Times-Italic,0,0.9620000123977661,-0.28299999237060547,qffinis,"(42.2400016784668, 199.92001342773438)","(42.2400016784668, 191.83921813964844, 64.2381591796875, 202.29721069335938)",idx,0,42.2400016784668,191.83921813964844,64.2381591796875,202.29721069335938
14,10,0,"(42.2400016784668, 191.83921813964844, 87.3943862915039, 202.62481689453125)","{'spans': [{'size': 8.702376365661621, 'flags': 6, 'font': 'Times-Italic', 'color': 0, 'ascender': 0.9620000123977661, 'descender': -0.28299999237060547, 'text': 'qffinis', 'origin': (42.2400016784668, 199.92001342773438), 'bbox': (42.2400016784668, 191.83921813964844, 64.2381591796875, 202.29721069335938)}, {'size': 8.702376365661621, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' Boiss.', 'origin': (64.23815155029297, 199.92001342773438), 'bbox': (64.23815155029297, 191.86441040039062, 87.3943862915039, 202.62481689453125)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (42.2400016784668, 191.83921813964844, 87.3943862915039, 202.62481689453125)}",,,,,,,,,,,number,0,6,6,8.702376365661621,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,Boiss.,"(64.23815155029297, 199.92001342773438)","(64.23815155029297, 191.86441040039062, 87.3943862915039, 202.62481689453125)",idx,1,64.23815155029297,191.86441040039062,87.3943862915039,202.62481689453125
15,12,0,"(42.47999954223633, 201.43919372558594, 135.3404541015625, 212.22479248046875)","{'spans': [{'size': 8.627662658691406, 'flags': 6, 'font': 'Times-Italic', 'color': 0, 'ascender': 0.9620000123977661, 'descender': -0.28299999237060547, 'text': 'anthropophora', 'origin': (42.47999954223633, 209.51998901367188), 'bbox': (42.47999954223633, 201.43919372558594, 94.99322509765625, 211.89718627929688)}, {'size': 8.627662658691406, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' (L.) R. Br.', 'origin': (94.99323272705078, 209.51998901367188), 'bbox': (94.99323272705078, 201.46438598632812, 135.3404541015625, 212.22479248046875)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (42.47999954223633, 201.43919372558594, 135.3404541015625, 212.22479248046875)}",,,,,,,,,,,number,0,7,7,8.627662658691406,6,Times-Italic,0,0.9620000123977661,-0.28299999237060547,anthropophora,"(42.47999954223633, 209.51998901367188)","(42.47999954223633, 201.43919372558594, 94.99322509765625, 211.89718627929688)",idx,0,42.47999954223633,201.43919372558594,94.99322509765625,211.89718627929688
16,12,0,"(42.47999954223633, 201.43919372558594, 135.3404541015625, 212.22479248046875)","{'spans': [{'size': 8.627662658691406, 'flags': 6, 'font': 'Times-Italic', 'color': 0, 'ascender': 0.9620000123977661, 'descender': -0.28299999237060547, 'text': 'anthropophora', 'origin': (42.47999954223633, 209.51998901367188), 'bbox': (42.47999954223633, 201.43919372558594, 94.99322509765625, 211.89718627929688)}, {'size': 8.627662658691406, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' (L.) R. Br.', 'origin': (94.99323272705078, 209.51998901367188), 'bbox': (94.99323272705078, 201.46438598632812, 135.3404541015625, 212.22479248046875)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (42.47999954223633, 201.43919372558594, 135.3404541015625, 212.22479248046875)}",,,,,,,,,,,number,0,7,7,8.627662658691406,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,(L.),"(94.99323272705078, 209.51998901367188)","(94.99323272705078, 201.46438598632812, 135.3404541015625, 212.22479248046875)",idx,1,94.99323272705078,201.46438598632812,135.3404541015625,212.22479248046875
17,12,0,"(42.47999954223633, 201.43919372558594, 135.3404541015625, 212.22479248046875)","{'spans': [{'size': 8.627662658691406, 'flags': 6, 'font': 'Times-Italic', 'color': 0, 'ascender': 0.9620000123977661, 'descender': -0.28299999237060547, 'text': 'anthropophora', 'origin': (42.47999954223633, 209.51998901367188), 'bbox': (42.47999954223633, 201.43919372558594, 94.99322509765625, 211.89718627929688)}, {'size': 8.627662658691406, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' (L.) R. Br.', 'origin': (94.99323272705078, 209.51998901367188), 'bbox': (94.99323272705078, 201.46438598632812, 135.3404541015625, 212.22479248046875)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (42.47999954223633, 201.43919372558594, 135.3404541015625, 212.22479248046875)}",,,,,,,,,,,number,0,7,7,8.627662658691406,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,R.,"(94.99323272705078, 209.51998901367188)","(94.99323272705078, 201.46438598632812, 135.3404541015625, 212.22479248046875)",idx,1,94.99323272705078,201.46438598632812,135.3404541015625,212.22479248046875
18,12,0,"(42.47999954223633, 201.43919372558594, 135.3404541015625, 212.22479248046875)","{'spans': [{'size': 8.627662658691406, 'flags': 6, 'font': 'Times-Italic', 'color': 0, 'ascender': 0.9620000123977661, 'descender': -0.28299999237060547, 'text': 'anthropophora', 'origin': (42.47999954223633, 209.51998901367188), 'bbox': (42.47999954223633, 201.43919372558594, 94.99322509765625, 211.89718627929688)}, {'size': 8.627662658691406, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' (L.) R. Br.', 'origin': (94.99323272705078, 209.51998901367188), 'bbox': (94.99323272705078, 201.46438598632812, 135.3404541015625, 212.22479248046875)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (42.47999954223633, 201.43919372558594, 135.3404541015625, 212.22479248046875)}",,,,,,,,,,,number,0,7,7,8.627662658691406,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,Br.,"(94.99323272705078, 209.51998901367188)","(94.99323272705078, 201.46438598632812, 135.3404541015625, 212.22479248046875)",idx,1,94.99323272705078,201.46438598632812,135.3404541015625,212.22479248046875
19,15,0,"(42.0, 211.03919982910156, 110.82980346679688, 221.82479858398438)","{'spans': [{'size': 8.754154205322266, 'flags': 6, 'font': 'Times-Italic', 'color': 0, 'ascender': 0.9620000123977661, 'descender': -0.28299999237060547, 'text': 'hircina', 'origin': (42.0, 219.1199951171875), 'bbox': (42.0, 211.03919982910156, 68.18370056152344, 221.4971923828125)}, {'size': 8.599072456359863, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' (L.)', 'origin': (68.18370056152344, 219.1199951171875), 'bbox': (68.18370056152344, 211.06439208984375, 85.21975708007812, 221.82479858398438)}, {'size': 8.441143035888672, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' Lindl.', 'origin': (85.21975708007812, 219.1199951171875), 'bbox': (85.21975708007812, 211.06439208984375, 110.82980346679688, 221.82479858398438)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (42.0, 211.03919982910156, 110.82980346679688, 221.82479858398438)}",,,,,,,,,,,number,0,8,8,8.754154205322266,6,Times-Italic,0,0.9620000123977661,-0.28299999237060547,hircina,"(42.0, 219.1199951171875)","(42.0, 211.03919982910156, 68.18370056152344, 221.4971923828125)",idx,0,42.0,211.03919982910156,68.18370056152344,221.4971923828125
20,15,0,"(42.0, 211.03919982910156, 110.82980346679688, 221.82479858398438)","{'spans': [{'size': 8.754154205322266, 'flags': 6, 'font': 'Times-Italic', 'color': 0, 'ascender': 0.9620000123977661, 'descender': -0.28299999237060547, 'text': 'hircina', 'origin': (42.0, 219.1199951171875), 'bbox': (42.0, 211.03919982910156, 68.18370056152344, 221.4971923828125)}, {'size': 8.599072456359863, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' (L.)', 'origin': (68.18370056152344, 219.1199951171875), 'bbox': (68.18370056152344, 211.06439208984375, 85.21975708007812, 221.82479858398438)}, {'size': 8.441143035888672, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' Lindl.', 'origin': (85.21975708007812, 219.1199951171875), 'bbox': (85.21975708007812, 211.06439208984375, 110.82980346679688, 221.82479858398438)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (42.0, 211.03919982910156, 110.82980346679688, 221.82479858398438)}",,,,,,,,,,,number,0,8,8,8.599072456359863,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,(L.),"(68.18370056152344, 219.1199951171875)","(68.18370056152344, 211.06439208984375, 85.21975708007812, 221.82479858398438)",idx,1,68.18370056152344,211.06439208984375,85.21975708007812,221.82479858398438
21,15,0,"(42.0, 211.03919982910156, 110.82980346679688, 221.82479858398438)","{'spans': [{'size': 8.754154205322266, 'flags': 6, 'font': 'Times-Italic', 'color': 0, 'ascender': 0.9620000123977661, 'descender': -0.28299999237060547, 'text': 'hircina', 'origin': (42.0, 219.1199951171875), 'bbox': (42.0, 211.03919982910156, 68.18370056152344, 221.4971923828125)}, {'size': 8.599072456359863, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' (L.)', 'origin': (68.18370056152344, 219.1199951171875), 'bbox': (68.18370056152344, 211.06439208984375, 85.21975708007812, 221.82479858398438)}, {'size': 8.441143035888672, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' Lindl.', 'origin': (85.21975708007812, 219.1199951171875), 'bbox': (85.21975708007812, 211.06439208984375, 110.82980346679688, 221.82479858398438)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (42.0, 211.03919982910156, 110.82980346679688, 221.82479858398438)}",,,,,,,,,,,number,0,8,8,8.441143035888672,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,Lindl.,"(85.21975708007812, 219.1199951171875)","(85.21975708007812, 211.06439208984375, 110.82980346679688, 221.82479858398438)",idx,2,85.21975708007812,211.06439208984375,110.82980346679688,221.82479858398438
22,17,0,"(41.040000915527344, 220.6392059326172, 132.9303436279297, 231.4248046875)","{'spans': [{'size': 8.566311836242676, 'flags': 6, 'font': 'Times-Italic', 'color': 0, 'ascender': 0.9620000123977661, 'descender': -0.28299999237060547, 'text': 'pyramidalis', 'origin': (41.040000915527344, 228.72000122070312), 'bbox': (41.040000915527344, 220.6392059326172, 82.2822494506836, 231.09719848632812)}, {'size': 8.435708045959473, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' (L.)', 'origin': (82.28225708007812, 228.72000122070312), 'bbox': (82.28225708007812, 220.66439819335938, 99.28732299804688, 231.4248046875)}, {'size': 8.566311836242676, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' Reichb.', 'origin': (99.28732299804688, 228.72000122070312), 'bbox': (99.28732299804688, 220.66439819335938, 132.9303436279297, 231.4248046875)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (41.040000915527344, 220.6392059326172, 132.9303436279297, 231.4248046875)}",,,,,,,,,,,number,0,9,9,8.566311836242676,6,Times-Italic,0,0.9620000123977661,-0.28299999237060547,pyramidalis,"(41.040000915527344, 228.72000122070312)","(41.040000915527344, 220.6392059326172, 82.2822494506836, 231.09719848632812)",idx,0,41.040000915527344,220.6392059326172,82.2822494506836,231.09719848632812
23,17,0,"(41.040000915527344, 220.6392059326172, 132.9303436279297, 231.4248046875)","{'spans': [{'size': 8.566311836242676, 'flags': 6, 'font': 'Times-Italic', 'color': 0, 'ascender': 0.9620000123977661, 'descender': -0.28299999237060547, 'text': 'pyramidalis', 'origin': (41.040000915527344, 228.72000122070312), 'bbox': (41.040000915527344, 220.6392059326172, 82.2822494506836, 231.09719848632812)}, {'size': 8.435708045959473, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' (L.)', 'origin': (82.28225708007812, 228.72000122070312), 'bbox': (82.28225708007812, 220.66439819335938, 99.28732299804688, 231.4248046875)}, {'size': 8.566311836242676, 'flags': 4, 'font': 'Times-Roman', 'color': 0, 'ascender': 0.9589999914169312, 'descender': -0.32199999690055847, 'text': ' Reichb.', 'origin': (99.28732299804688, 228.72000122070312), 'bbox': (99.28732299804688, 220.66439819335938, 132.9303436279297, 231.4248046875)}], 'wmode': 0, 'dir': (1.0, 0.0), 'bbox': (41.040000915527344, 220.6392059326172, 132.9303436279297, 231.4248046875)}",,,,,,,,,,,number,0,9,9,8.435708045959473,4,Times-Roman,0,0.9589999914169312,-0.32199999690055847,(L.),"(82.28225708007812, 228.72000122070312)","(82.28225708007812, 220.66439819335938, 99.28732299804688, 231.4248046875)",idx,1,82.28225708007812,220.66439819335938,99.28732299804688,231.4248046875
